Name,Type,mag,Const,_RAJ2000,_DEJ2000
I5370,Gx,15.0,And,0.0253,32.7500
I5371,,,And,0.0503,32.8166
7801,-,,Cas,0.1004,50.6999
I5372,Gx,15.0,And,0.1003,32.7833
I5373,Gx,15.0,And,0.1003,32.7833
7802,Gx,14.0,Psc,0.2753,6.2167
I5374,,,Psc,0.2753,4.5000
I5375,Gx,14.0,Psc,0.2753,4.5167
7804,,,Psc,0.3253,7.7500
7803,Gx,14.0,Peg,0.3503,13.1000
7805,Gx,14.0,Peg,0.3503,31.4333
I5376,Gx,15.0,And,0.3503,34.5333
7806,Gx,14.0,Peg,0.3753,31.4500
I1526,Gx,15.0,Peg,0.4003,11.3500
I5377,Gx,16.0,Peg,0.5253,16.6000
7809,Gx,15.0,Psc,0.5503,2.9333
7810,Gx,14.0,Peg,0.6003,12.9500
I1527,,,Psc,0.6003,4.1167
7811,Gx,15.0,Psc,0.6253,3.3333
I5378,,,Peg,0.6503,16.6166
I5379,,,Peg,0.6753,16.5833
I5380,,,Tuc,0.6754,-66.1832
7812,Gx,,Scl,0.7253,-34.2499
7813,Gx,15.0,Cet,0.8003,-11.9833
I5381,Gx,,Peg,0.8003,15.9666
7814,Gx,10.5,Peg,0.8253,16.1500
7815,-,,Peg,0.8503,20.6833
I5382,,,Tuc,0.8504,-65.1832
7808,Gx,14.0,Cet,0.8753,-10.7500
7822,Nb,,Cep,0.9004,68.6166
7816,Gx,14.0,Psc,0.9503,7.4667
I5383,,,Peg,0.9503,16.0000
7817,Gx,12.0,Peg,1.0003,20.7500
7818,Gx,15.0,Psc,1.0503,7.3500
I5384,Gx,15.0,Cet,1.0503,-11.9666
7819,Gx,14.0,Peg,1.1003,31.4833
7820,Gx,14.0,Psc,1.1503,5.1833
7823,Gx,,Tuc,1.2004,-62.0666
I1528,,,Psc,1.2753,-3.1167
7824,Gx,14.0,Psc,1.3003,6.9000
7825,Gx,15.0,Psc,1.3003,5.2000
7826,-,,Cet,1.3003,-20.7333
I1529,,,Cet,1.3003,-11.5000
7821,Gx,14.0,Cet,1.3253,-16.4833
7827,Gx,14.0,Psc,1.3753,5.2167
7830,*,,Psc,1.5503,8.3667
7828,Gx,,Cet,1.6003,-13.4000
7829,Gx,,Cet,1.6003,-13.4000
I5385,,,Psc,1.6003,-0.0667
7833,-,,Peg,1.6253,27.6333
I5386,,,Psc,1.6253,-3.7167
7832,Gx,13.0,Psc,1.6503,-3.7000
