NOMAD1,YM,RAJ2000,DEJ2000,r,pmRA,e_pmRA,pmDE,e_pmDE,Bmag,r_Bmag,Vmag,r_Vmag,Rmag,r_Rmag,Jmag,Hmag,Kmag,R
1226-0149989,YM,93.0838497,32.6933794,H,-8.6,1.2,-4.0,0.6,7.473,T,5.794,T,4.910,B,2.321,1.499,1.268,
1158-0085332,.M,84.9341622,25.8970908,H,9.7,0.8,-23.7,0.5,5.016,T,5.156,T,5.240,B,5.415,5.503,5.511,
1192-0098257,.M,84.8263000,29.2152125,H,-1.4,0.7,-7.2,0.4,6.117,T,5.988,T,5.910,B,5.474,5.467,5.391,
1179-0128705,YM,87.7421239,27.9678614,H,-3.0,1.1,11.5,0.8,6.538,T,5.588,T,5.000,B,3.721,3.281,3.099,
1186-0085044,.M,81.5729722,28.6074500,H,23.2,1.0,-174.2,0.5,1.620,T,1.675,T,1.720,B,1.854,1.881,2.004,
1202-0090236,.M,81.7844706,30.2086031,H,0.2,0.8,-4.5,0.5,5.862,T,5.724,T,5.640,B,5.057,5.027,4.974,
1195-0085557,.M,80.3028639,29.5698839,H,-1.5,0.9,-0.1,0.5,5.722,T,5.659,T,5.630,B,5.525,5.556,5.519,
1211-0088074,.M,81.1604972,31.1431478,H,-10.6,0.7,-6.2,0.5,5.959,T,5.925,T,5.920,B,5.674,5.655,5.666,
1204-0099003,YM,84.6586883,30.4924122,H,-21.1,0.9,-11.9,0.6,5.816,T,5.415,T,5.150,B,4.303,3.946,3.880,
1221-0114368,YM,83.1819706,32.1920217,H,-1.8,0.8,-4.0,0.6,4.980,T,4.737,T,4.590,B,4.246,4.076,3.999,
1217-0111860,YM,88.7457894,31.7014956,H,-45.1,1.2,-179.8,0.9,6.032,T,5.903,T,5.820,B,5.586,5.570,5.517,
1273-0147100,YM,87.7601556,37.3055728,H,36.9,0.8,-44.7,0.5,6.392,T,4.742,T,3.860,B,1.747,0.864,0.677,
1272-0153530,.M,89.9302872,37.2125850,H,42.0,1.0,-73.6,0.5,2.564,T,2.606,T,2.640,B,2.383,2.391,2.396,
1284-0145511,.M,91.6462403,38.4826442,H,10.7,1.0,-52.7,0.5,5.577,T,5.352,T,5.210,B,5.084,4.939,4.756,
1291-0145208,YM,87.8724958,39.1484803,H,8.4,0.8,0.3,0.6,5.096,T,3.967,T,3.280,B,2.178,1.665,1.522,
0528-0334376,YM,175.8632800,-37.1901556,H,-19.0,0.5,-21.8,0.5,7.462,T,5.980,T,5.100,B,3.609,2.777,2.622,R
0560-0270149,.M,178.2271686,-33.9081244,H,-58.0,0.8,2.3,0.6,4.265,T,4.354,T,4.400,B,4.616,4.557,4.431,R
0571-0372471,.M,186.7153761,-32.8301208,H,-5.6,0.6,-30.0,0.4,5.568,T,5.557,T,5.560,B,5.477,5.475,5.443,R
0595-0295303,YM,189.7644100,-30.4223872,H,-38.6,0.7,-15.5,0.5,7.091,T,5.872,T,5.130,B,3.774,3.043,2.951,
0602-0284157,YM,181.6699789,-29.7602553,C,-9.8,4.9,10.5,4.8,14.590,o,5.380,Y,10.500,e,11.495,10.802,10.065,
0651-0278477,YM,185.8399417,-24.8406689,H,-21.3,0.8,-19.5,0.4,6.814,T,5.664,T,4.960,B,3.759,3.108,3.028,
0552-0266387,.M,175.0532881,-34.7446600,H,-44.0,0.6,-1.8,0.4,4.613,T,4.681,T,4.720,B,4.822,4.948,4.791,R
0564-0276440,YM,174.1456036,-33.5700575,H,29.3,0.8,-33.9,0.6,6.939,T,5.904,T,5.260,B,3.895,3.286,3.230,R
0575-0355290,.M,175.4331189,-32.4994036,H,-5.5,0.8,-33.4,0.4,6.716,T,5.214,T,4.330,B,2.588,1.844,1.663,
0571-0349484,.M,173.6228625,-32.8313397,H,-670.9,0.7,823.8,0.4,6.742,T,5.966,T,5.470,B,4.783,4.137,4.022,R
0581-0317109,YM,173.2504808,-31.8576253,H,-209.0,0.8,-41.6,0.4,4.456,T,3.534,T,2.950,B,1.993,1.526,1.471,
0591-0280843,.M,177.9233736,-30.8348089,H,-10.4,1.0,-293.3,0.5,6.356,T,5.857,T,5.520,B,5.105,4.806,4.522,
