RAJ2000,DEJ2000,cst,type
353.035698,35.1897736,AND,I
352.027387,35.1880264,AND,I
351.018963,35.1860695,AND,I
350.010539,35.1838989,AND,I
349.002342,35.1815186,AND,I
347.994003,35.1789322,AND,I
346.985692,35.1761322,AND,I
345.977554,35.1731300,AND,I
344.969329,35.1699181,AND,I
344.465304,35.1682358,AND,O
344.460181,36.1682281,AND,I
344.454889,37.1682205,AND,I
344.449482,38.1682091,AND,I
344.443932,39.1682014,AND,I
344.438209,40.1681900,AND,I
344.432316,41.1681786,AND,I
344.426250,42.1681709,AND,I
344.419984,43.1681557,AND,I
344.413491,44.1681480,AND,I
344.406795,45.1681366,AND,I
344.399842,46.1681252,AND,I
344.392662,47.1681137,AND,I
344.385195,48.1681023,AND,I
344.377413,49.1680870,AND,I
344.369316,50.1680717,AND,I
344.360876,51.1680603,AND,I
344.352064,52.1680412,AND,I
344.342851,53.1680298,AND,O
345.358257,53.1713676,AND,I
346.373921,53.1744957,AND,I
347.389669,53.1774216,AND,I
348.405276,53.1801338,AND,I
349.421139,53.1826363,AND,I
350.437059,53.1849251,AND,I
351.452894,53.1870041,AND,O
351.458187,52.1870117,AND,I
351.463222,51.1870155,AND,I
351.465682,50.6870193,AND,O
352.480316,50.6888847,AND,I
353.494979,50.6905365,AND,I
354.509526,50.6919746,AND,I
355.270557,50.6929131,AND,O
355.273361,49.6929131,AND,I
355.276079,48.6929169,AND,O
356.289825,48.6939774,AND,I
357.303600,48.6948280,AND,I
358.317232,48.6954613,AND,I
359.331036,48.6958809,AND,I
0.344827,48.6960831,AND,I
1.358464,48.6960716,AND,I
1.611971,48.6960373,AND,I
1.611960,48.6960373,AND,I
2.625761,48.6957550,AND,I
3.639401,48.6952629,AND,I
4.146367,48.6949348,AND,O
4.144794,47.6949348,AND,I
4.143279,46.6949348,AND,O
5.155965,46.6941185,AND,I
6.168784,46.6930885,AND,I
7.181581,46.6918449,AND,I
8.194201,46.6903877,AND,I
9.206943,46.6887169,AND,I
10.219651,46.6868362,AND,I
11.232168,46.6847420,AND,I
12.244797,46.6824379,AND,I
13.257378,46.6799202,AND,I
14.269756,46.6771965,AND,I
14.776077,46.6757545,AND,O
14.782350,47.6757469,AND,I
14.788867,48.6757393,AND,O
15.802069,48.6726990,AND,I
16.815359,48.6694489,AND,I
17.828577,48.6659966,AND,I
18.588408,48.6632690,AND,O
18.596976,49.6632500,AND,I
18.605904,50.6632347,AND,O
19.619801,50.6594200,AND,I
