MAIN_ID,OTYPE_S,RA_d_A_ICRS_J2000_2000,DEC_d_D_ICRS_J2000_2000,Distance_distance,Distance_Q,Distance_unit,Distance_merr,Distance_perr,Distance_method,Distance_bibcode,FLUX_B,FLUX_V
b'M   1',b'SNR',83.63308000,22.01450000,2.0000,,kpc,,,,1973PASP...85..579T,,
b'M   2',b'GlCl',323.36258000,-0.82325000,0.0120,,Mpc,,,,2008MNRAS.389.1924F,,6.25
b'M   3',b'GlCl',205.54842000,28.37728000,0.0100,,Mpc,,,,2008MNRAS.389.1924F,,6.389999866485596
b'M   4',b'GlCl',245.89675000,-26.52575000,0.0020,,Mpc,,,,2008MNRAS.389.1924F,,
b'M   5',b'GlCl',229.63842000,2.08103000,0.0080,,Mpc,,,,2008MNRAS.389.1924F,7.340000152587891,5.949999809265137
b'NGC  6405',b'OpCl',265.08300000,-32.25300000,0.4000,,kpc,,,ST-L,2009MNRAS.400..518M,,
b'NGC  6475',b'OpCl',268.46300000,-34.79300000,300.0000,,pc,,,ST-L,2005A&A...438.1163K,,
b'M   8',b'HII',270.90400000,-24.38700000,,,,,,,,,
b'M   9',b'GlCl',259.79908000,-18.51625000,,,,,,,,9.359999656677246,8.420000076293945
b'M  10',b'GlCl',254.28771000,-4.10031000,0.0040,,Mpc,,,,2008MNRAS.389.1924F,,4.980000019073486
b'NGC  6705',b'OpCl',282.77100000,-6.27000000,1877.0000,,pc,,,ST-L,2005A&A...438.1163K,6.320000171661377,5.800000190734863
b'M  12',b'GlCl',251.80908000,-1.94853000,0.0050,,Mpc,,,,2008MNRAS.389.1924F,8.520000457763672,6.070000171661377
b'M  13',b'GlCl',250.42347500,36.46131900,0.0080,,Mpc,,,,2008MNRAS.389.1924F,,5.800000190734863
b'M  14',b'GlCl',264.40063000,-3.24592000,,,,,,,,9.550000190734863,5.730000019073486
b'M  15',b'GlCl',322.49304000,12.16700000,,,,,,,,3.0,
b'M  16',b'OpCl',274.70000000,-13.80700000,1719.0000,,pc,,,ST-L,2005A&A...438.1163K,6.579999923706055,6.0
